Dataset,Index,#F.,#Inst.,IR
sonar,D1,60,208,1.1443298969072164
banana,D2,2,5300,1.2306397306397303
australian,D3,14,690,1.247557003257329
heart,D4,13,270,1.25
spambase,D5,57,4597,1.5369757174392935
wdbc,D6,30,569,1.6839622641509433
wisconsin,D7,9,683,1.8577405857740583
pima,D8,8,768,1.8656716417910448
iris0,D9,4,150,2.0
glass0,D10,9,214,2.057142857142857
german,D11,20,1000,2.333333333333333
phoneme,D12,5,5404,2.407313997477932
yeast1,D13,8,1484,2.4592074592074598
vehicle2,D14,18,846,2.8807339449541285
ecoli1,D15,7,336,3.363636363636364
appendicitis,D16,7,106,4.047619047619048
new-thyroid1,D17,5,215,5.142857142857143
ecoli2,D18,7,336,5.461538461538462
segment0,D19,19,2308,6.015197568389058
yeast-0-2-5-6-vs-3-7-8-9,D20,8,1004,9.141414141414142
led7digit-0-2-4-5-6-7-8-9-vs-1,D21,7,443,10.972972972972974
cleveland-0-vs-4,D22,13,173,12.307692307692308
yeast-1-vs-7,D23,7,459,14.3
shuttle-6-vs-2-3,D24,9,230,22.0
yeast-2-vs-8,D25,8,482,23.1
winequality-red-8-vs-6-7,D26,11,855,46.5
shuttle-2-vs-5,D27,9,3316,66.6734693877551
